X	Y

18279,265281368971040	69033,815815916619620



18325,817618463486720	69055,507537673984190



18329,506671591730990	69081,608145967402380



18283,481342086965020	69098,538270265838940



18287,697402804958980	69145,801533932302840



18293,670155488784080	68986,250938837634750



11601,553775453072380	69092,718540038244100



11599,621414290659230	69050,040518369278290



11651,092488889500600	69079,315524968653340



11762,818097916338960	69110,530441643888480



11797,073591250038590	69072,966728356739620



11826,410347079412530	69070,497751896560660



11811,829803763017480	69029,054218457677050



11796,546583660288890	69053,920338521013040



11773,006911318156200	69044,220788141698000



11787,587454634551250	69017,994921897203310



11554,397202874177310	69030,817773072107230



11380,133359863762960	69018,347632820077700



11313,301837267563310	68942,691139861446570



11230,737314873516880	68950,450780164901520



11230,737314873516880	68920,999418104082000



11582,679943524051850	68961,561174235743240



11557,910586805837740	68966,146416233241320



11548,424450190352220	68915,708754260820570



11853,112064960039790	68998,243110215684280



11800,411305985117000	68895,604231656427140



11889,904154940533770	69084,958899734803710



11865,134798222319660	69064,501666207521340



11404,902716581977070	68895,251520733552750



11165,212704548028340	68970,555302769294940



11409,118777299971040	68882,906638432599720



11437,928525539595280	68863,683893135428660



11470,602996104049450	68872,325310746091420



11518,209348378062710	69088,133298040760560



11509,250219352325080	69073,319439279628570



10710,777706394927010	69139,452737320389140



10306,485657162633288	69750,547474147344480



10332,836036650096503	69564,190848913494840



10261,964122532484907	69659,548056043262480



9898,954334497215314	70229,022903969904290



9578,983499624799151	70304,679396928535420



9560,362564786992152	70306,972017927284470



9888,238513505646551	70143,188891758007230



10402,928046086743052	69390,884527826347040



10418,386935386055484	69384,712086675877800



10157,089612172387206	70602,265220821951520



10671,603475556901680	70731,533774058945710



11551,059488139098900	69849,608145967402380



11149,402476855551870	69594,876699204411120



10977,169436309504820	69583,589949672110380



11041,991369848659820	69606,994128533537150



11429,672073300191190	69890,698968483397040



11389,795165675832320	69879,941285335429710



12026,399120685586240	68864,742025904080940



12105,977266737720130	68902,305739191229800



9749,558289506967412	70209,271092288399820



10084,186895590410131	70398,802115828220850



10460,547542565993353	70673,160116321640090



10641,915381334360060	70617,255435044513440



11289,937834122014460	69750,018407763025600



11285,370435010854640	69734,499127156130270



10951,170395215209280	69563,132716144842560



14359,102756377622430	68825,289500051425420



14424,803035899692990	68567,685268394998280



14337,846783591070560	68569,096112086524960



14367,886216206776220	68614,948532061462180



14969,707670293080810	68213,842052301581140



15202,722252856872730	68164,638878559257140



14900,494006839348000	69228,108436915368660



15586,362564786992150	70047,075165272108280



15570,376667897931840	70017,800158672733230



16140,050659009533770	69699,404390329160380



16077,512425025957780	69747,725786764276560



16016,477985916999390	69579,004707674626840



16446,143627351884790	69600,116265537304570



16465,467238976023510	69225,639460455175140



16730,804953711103740	68370,041893628847900



16714,116380035709880	68420,303200139824180



16720,264801916116990	68433,882570670859420



16737,480383181260550	68068,525152073358180



16738,534398360756310	68062,756519356131320



17335,964122532484910	68647,523194917870570



17262,885736753923990	68345,175773565526470



17463,401517949845580	68182,098069242012570



17868,396243968472840	69877,825019798125140



17859,788453335902890	69871,123512263337040



18037,291569779441490	69828,092779671482280



17940,146504068998180	69556,431208610039900



18224,983499624799150	69212,463898357382280



18226,213184000880570	69159,733615386227030



18257,130962599501800	68995,245067371171900



9812,173751385174910	70644,414176106598460



10190,466759523171277	69909,392647396249230



10185,372352822263565	69790,227452971797900



10179,750938531604334	69849,784501428846850



10178,521254155522911	69840,084951049531810



10448,602037198344988	69435,451362060819520



11291,870195284427610	70162,587992516637320



11208,427326907465610	69639,267177977439140



11292,748541267343170	68901,953028268340860



11333,405353572665260	69691,821105487149900



11312,774829677813610	69571,245067371171900



11230,912984070098900	69778,058926132303900



11212,994726018625440	70233,431790505957900



11654,254534427995170	70572,990214222576470



11687,807350975363080	70509,024279229473900



11415,267199180378160	70545,000793363651610



11430,023411693357050	70577,046389835741140



11430,023411693357050	70638,947156801892560



11734,711026463046440	68998,772176600017700



12420,579584410690590	69343,092197775564280



12565,155333198565130	70368,116265537304570



12728,429244718874540	68916,943242490917330



12916,823851350563930	68954,506955778066180



12936,498801367870330	69035,755725992479710



12947,741629949186970	69018,523988281522180



12930,350379487461400	69023,763554614415620



